user_id,min(time_stamp)
220562871,2013-10-22
220576533,2013-12-16
220579569,2014-10-10
220581087,2013-10-25
220582099,2013-12-11
220592219,2013-10-24
220610435,2014-12-13
220622073,2013-11-08
220635229,2013-11-22
220635735,2013-10-21
220638771,2013-10-09
220640289,2013-11-25
220647373,2013-12-06
220647879,2014-11-23
220648891,2013-12-03
220649903,2014-10-10
220655469,2013-11-14
220662553,2013-12-17
220670649,2013-11-06
220673179,2013-10-30
220684311,2014-10-15
220687853,2013-11-13
220696455,2014-10-28
220709105,2013-12-19
220714671,2013-11-01
220728333,2013-11-11
220738959,2013-10-22
220743513,2013-12-06
220749079,2013-12-16
220757681,2013-11-21
220797655,2013-12-17
220820425,2014-10-27
220823461,2013-10-18
220824979,2014-11-06
220826497,2013-11-20
220830545,2013-11-05
220831051,2013-11-25
220845725,2014-10-07
220848255,2013-12-03
220855845,2013-10-31
220859893,2013-10-22
220862423,2014-10-22
220868495,2014-10-28
220877097,2013-12-03
220882157,2014-11-14
220884181,2014-11-14
220900373,2013-10-21
220901385,2013-10-10
220903409,2014-10-29
220905939,2013-10-15
220910493,2013-11-18
220914035,2014-10-07
220916059,2013-10-03
220916565,2013-12-23
220921625,2013-12-23
220923143,2014-12-19
220931239,2013-11-13
220933769,2013-12-17
220943383,2013-12-30
220948949,2014-12-16
220972225,2013-11-26
220972731,2014-10-07
220973237,2014-12-03
220983357,2013-11-25
220991453,2013-12-12
220994489,2014-11-21
220997019,2014-12-09
221005621,2014-12-01
221016247,2013-10-04
221064317,2013-11-04
221067353,2013-11-28
221076461,2013-11-01
221082027,2013-10-03
221085063,2013-12-27
221085569,2013-12-06
221090123,2013-11-06
221109857,2013-11-26
221131109,2014-12-17
221132121,2014-11-11
221138699,2013-12-11
221142747,2013-10-18
221147301,2013-10-28
221149325,2013-12-09
221151855,2013-10-22
221152361,2014-12-18
221154385,2014-11-10
221156915,2014-11-18
221165011,2013-10-24
221172601,2013-10-30
221181709,2013-11-27
221182721,2014-12-19
221185251,2013-12-02
221187781,2013-10-17
221191323,2013-12-06
221194865,2013-12-16
221207009,2014-10-22
221209033,2013-11-08
221211057,2013-12-16
221213081,2013-12-17
221216623,2013-11-07
221222695,2014-10-06
221224719,2014-11-13
221227755,2013-11-08
221230791,2014-11-04
221234839,2013-10-01
221240405,2013-10-23
221247489,2013-12-09
221250019,2013-11-01
221253561,2014-10-07
221254573,2013-10-11
221262669,2014-10-23
221267729,2014-10-23
221271777,2013-10-09
221274307,2013-12-19
221277849,2013-12-16
221278861,2014-11-16
221279873,2013-10-29
221283415,2014-11-25
221286957,2014-10-10
221298595,2013-11-04
221300619,2013-10-29
221302137,2014-11-26
221307197,2014-11-01
221311751,2013-11-21
221321365,2013-12-05
221340087,2013-11-14
221342617,2013-11-28
221351725,2013-12-19
221355773,2013-10-29
221359315,2013-12-16
221361845,2013-11-25
221373483,2013-10-18
221376519,2014-10-10
221379049,2013-10-10
221380061,2013-11-01
221382085,2013-10-01
221384615,2014-12-20
221386133,2013-10-14
221389675,2013-11-21
221392711,2014-10-22
221394229,2013-12-04
221399795,2013-11-20
221403337,2013-10-07
221419023,2014-10-14
221421553,2013-11-26
221423071,2013-11-18
221426613,2013-12-17
221433697,2013-12-06
221434203,2014-12-08
221434709,2013-11-20
221445335,2013-12-11
221452419,2014-12-08
221456467,2013-11-13
221461021,2013-11-14
221465575,2014-12-17
221467599,2013-12-10
221476201,2013-11-26
221485815,2014-10-07
221490369,2014-10-10
221492899,2013-10-29
221494417,2013-10-25
221495935,2013-11-05
221496947,2013-11-19
221502007,2014-12-08
221504031,2013-11-12
221510103,2013-11-11
221510609,2014-10-23
221511621,2013-12-16
221515163,2013-11-06
221520223,2014-10-22
221525283,2013-12-10
221527813,2013-11-06
221528825,2014-10-24
221530849,2013-10-24
221531861,2013-10-01
221533379,2013-10-01
221534391,2014-12-01
221536415,2013-11-15
221538945,2013-10-18
221539957,2013-11-22
221544005,2013-10-29
221546029,2013-10-18
221546535,2014-11-21
221548053,2013-10-02
221548559,2013-12-06
221554631,2013-10-31
221556655,2013-12-17
221557161,2013-11-06
221559691,2014-10-30
221564751,2013-12-03
221565257,2013-11-14
221566269,2014-10-30
221576895,2013-11-18
221581449,2013-12-06
221582461,2013-11-20
221583979,2013-11-27
221584991,2013-10-18
221585497,2013-11-25
221587521,2013-10-07
221590051,2013-10-08
221592075,2013-11-01
221592581,2013-12-06
221593087,2013-11-01
221594605,2013-12-16
221595111,2013-12-23
221596629,2014-11-26
221599665,2013-11-01
221600677,2014-10-10
221605737,2014-12-07
221606243,2013-11-12
221613833,2013-11-01
221615351,2013-11-12
221619905,2013-11-21
221622435,2013-10-14
221630025,2014-11-04
221634579,2013-10-25
221635085,2014-11-04
221640145,2014-10-09
221646723,2013-10-04
221649759,2013-11-26
221651783,2013-11-08
221654819,2013-10-07
221656337,2013-10-11
221657855,2013-10-16
221658361,2013-10-07
221662915,2014-11-17
221665445,2014-10-28
221681131,2013-11-05
221682649,2013-10-10
221683661,2014-11-10
221685179,2013-12-31
221687709,2013-10-22
221689227,2013-10-15
221690745,2013-12-10
221691757,2013-10-11
221693275,2013-11-14
221694793,2014-12-25
221696817,2013-12-24
221697323,2014-10-14
221705419,2013-11-14
221708455,2014-11-04
221709467,2013-12-04
221711491,2013-10-30
221717563,2013-12-12
221720093,2013-11-08
221730719,2013-11-29
221738815,2013-11-11
221739827,2013-12-16
221751465,2013-11-11
221755007,2013-10-18
221759561,2013-11-22
221769175,2014-11-04
221771199,2013-10-04
221778789,2013-11-25
221783849,2013-11-29
221786885,2014-11-14
221787391,2013-11-25
221799029,2013-12-19
221802065,2013-10-08
221802571,2013-10-22
221804089,2014-12-10
221805607,2013-12-17
221814209,2013-12-09
221816233,2013-12-03
221819775,2013-11-14
221820787,2013-11-14
221830401,2013-10-25
221830907,2013-10-01
221837485,2013-10-03
221850641,2013-12-18
221859749,2014-10-30
221862785,2014-10-28
221871387,2013-12-03
221872399,2013-11-06
221878471,2013-10-15
221881507,2013-10-16
221886567,2013-12-06
221887073,2013-11-14
221888085,2013-11-25
221890109,2014-10-09
221898205,2013-10-23
221906301,2013-12-18
221910855,2014-10-30
221912879,2013-12-09
221919457,2014-11-04
221923505,2013-11-07
221925023,2013-12-18
221926035,2013-10-22
221927553,2013-10-30
221929071,2013-11-19
221932613,2013-11-18
221934131,2013-10-31
221937167,2013-12-13
221939697,2013-11-18
221946781,2013-11-19
221947287,2014-11-14
221948805,2013-11-06
221949311,2013-11-14
221952853,2013-10-11
221955383,2014-10-20
221956901,2013-10-04
221959937,2013-12-20
221961455,2013-10-03
221966515,2013-11-11
221972587,2013-11-08
221977141,2013-12-04
221978659,2014-12-02
221983719,2013-10-25
221985743,2014-11-20
221986755,2013-10-25
221991309,2014-10-24
221999405,2013-10-15
222013573,2013-12-30
222015091,2013-10-30
222015597,2013-11-19
222019139,2013-10-29
222022681,2013-11-21
222024705,2013-12-10
222033307,2013-11-05
222034319,2013-11-22
222039379,2013-10-18
222045957,2013-12-10
222048487,2013-11-19
222050005,2014-11-21
222052029,2014-10-07
222056583,2014-10-10
222062149,2014-10-23
222064679,2013-10-17
222066197,2013-12-03
222077835,2013-11-14
222078341,2013-12-26
222080365,2013-11-18
222084413,2013-11-06
222085931,2013-12-17
222089473,2013-10-15
222091497,2013-10-28
222101111,2013-11-25
222110725,2013-12-19
222117303,2014-12-09
222119833,2014-11-21
222120845,2013-10-09
222121857,2013-12-06
222123375,2013-11-01
222126411,2013-11-26
222128435,2014-10-10
222128941,2013-12-19
222131471,2013-10-18
222135519,2014-10-22
222138555,2013-10-15
222140073,2014-10-01
222142603,2013-10-15
222143615,2013-11-08
222148169,2014-10-21
222149181,2013-10-04
222153229,2013-11-14
222155759,2013-11-11
222156265,2013-10-09
222157277,2014-10-29
222158289,2013-11-11
222158795,2013-12-05
222159301,2014-10-10
222170433,2013-11-12
222171951,2014-12-18
222172457,2013-10-14
222179035,2013-10-15
222180047,2013-10-16
222182577,2013-10-15
222184601,2014-12-03
222188649,2013-11-26
222189155,2013-10-11
222191179,2013-10-10
222194215,2013-10-17
222195733,2014-10-27
222205347,2013-11-27
222205853,2014-10-07
222209901,2013-10-07
222215467,2013-11-26
222219515,2014-10-28
222223057,2013-12-26
222223563,2014-10-07
222226093,2013-11-06
222229129,2014-10-29
222231659,2014-10-10
222233177,2014-10-06
222236213,2013-11-29
222237225,2013-11-18
222241779,2014-10-10
222243803,2013-11-19
222244309,2013-10-28
222247851,2014-10-20
222259995,2013-10-31
222261513,2014-10-28
222262525,2013-12-23
222267585,2013-11-12
222268091,2013-12-09
222274669,2013-10-15
222277705,2013-10-11
222280235,2013-12-13
222282765,2013-10-22
222283271,2013-11-04
222284789,2013-12-24
222286813,2013-10-10
222288331,2013-11-26
222289849,2013-10-28
222297439,2013-11-07
222300981,2013-10-22
222303005,2013-10-22
222306041,2013-10-10
222306547,2013-11-12
222307053,2013-11-25
222314137,2014-12-08
222315655,2013-10-25
222317679,2013-12-03
222320715,2013-10-02
222322739,2014-10-28
222334377,2013-10-18
222338425,2013-10-29
222343485,2014-11-04
222347027,2013-12-17
222353099,2013-10-31
222357147,2013-12-13
222360689,2014-10-20
222368279,2013-11-25
222373845,2013-11-06
222379411,2013-10-07
222380929,2014-10-30
222384471,2013-10-23
222385483,2013-10-02
222386495,2013-12-05
222389531,2014-12-09
222393073,2013-10-22
222409265,2013-10-04
222417361,2014-10-20
222417867,2013-11-14
222421915,2013-10-15
222423939,2013-12-06
222424445,2014-11-14
222428493,2013-11-26
222428999,2013-12-03
222430011,2013-10-10
222435577,2013-11-14
222436589,2013-10-04
222442155,2013-11-05
222442661,2013-12-06
222449745,2013-11-19
222452781,2013-12-05
222456323,2013-10-03
222463913,2013-12-12
222468973,2013-11-14
222471503,2014-12-13
222474033,2013-11-18
222477069,2013-11-05
222478081,2013-10-25
222478587,2013-11-07
222480611,2013-10-04
222485165,2014-10-09
222487189,2013-12-17
222495285,2014-11-04
222495791,2014-11-04
222500345,2013-10-08
222503887,2013-10-21
222509453,2014-11-04
222512489,2014-10-27
222514513,2013-10-21
222516031,2013-10-10
222517549,2014-11-19
222523621,2013-11-06
222525139,2014-10-06
222528681,2014-10-28
222533235,2014-12-01
222542343,2013-10-31
222542849,2013-10-14
222543861,2013-11-13
222564607,2013-12-20
222566631,2013-12-12
222567137,2013-10-18
222575233,2013-12-03
222575739,2013-11-11
222580293,2014-10-10
222580799,2013-10-28
222584847,2013-10-03
222586365,2013-11-05
222587883,2013-10-17
222591931,2014-11-28
222593955,2013-10-14
222594461,2014-11-21
222595979,2013-10-18
222599015,2013-10-22
222605593,2014-10-27
222606605,2014-10-23
222607111,2013-10-17
222607617,2013-10-25
222613689,2013-10-04
222615207,2013-10-21
222617231,2013-10-01
222618749,2013-10-04
222622291,2013-10-11
222625833,2014-12-19
222626845,2013-10-09
222627351,2013-11-06
222628869,2013-10-09
222631905,2013-10-07
222632411,2014-10-06
222634941,2013-12-04
222635447,2013-10-01
222635953,2013-11-12
222636965,2013-10-21
222637977,2013-10-01
222638483,2013-10-08
222642531,2013-11-20
222674409,2013-11-12
222685035,2013-10-07
222687059,2013-10-09
222688071,2013-12-04
222690601,2013-10-23
222691107,2013-11-26
222692625,2013-10-03
222694649,2013-10-07
222695155,2013-10-14
222696167,2014-11-06
222697179,2013-12-13
222699709,2013-10-16
222703757,2013-10-01
222705781,2013-10-08
222707805,2013-10-25
222711853,2013-10-04
222712865,2013-10-07
222714383,2013-10-21
222714889,2013-10-03
222715395,2013-10-14
222715901,2013-11-12
222716407,2013-10-15
222717925,2013-10-01
222718431,2013-10-09
222720455,2013-10-09
222720961,2013-12-12
222721467,2013-10-29
222722985,2013-10-24
222724503,2013-10-08
222725009,2013-10-22
222727033,2013-10-10
222729057,2013-10-17
222729563,2013-10-11
222732093,2013-10-23
222734623,2013-11-20
222735129,2013-10-08
222735635,2013-10-09
222736141,2013-10-17
222736647,2013-10-21
222737153,2013-11-07
222739683,2013-10-21
222740189,2013-10-21
222740695,2013-10-11
222741201,2013-10-18
222742213,2013-10-18
222743731,2013-11-14
222744237,2013-10-18
222744743,2013-10-23
222745249,2013-10-01
222746261,2013-10-21
222746767,2013-10-21
222747779,2013-10-18
222749803,2013-10-14
222750815,2013-10-21
222751321,2013-10-04
222752333,2013-10-25
222754863,2013-10-10
222755875,2013-10-14
222758405,2013-10-21
222758911,2013-10-15
222759923,2013-10-21
222760935,2013-10-23
222761441,2013-10-28
222761947,2013-10-25
222762453,2013-10-21
222762959,2013-10-18
222763465,2013-10-22
222763971,2013-12-06
222764477,2013-10-01
222764983,2013-10-09
222765489,2013-10-07
222765995,2013-11-28
222768019,2013-10-18
222769031,2013-10-21
222769537,2013-10-14
222770043,2013-10-18
222770549,2013-10-28
222771055,2013-10-11
222772067,2013-10-07
222773585,2013-10-09
222774091,2013-10-14
222774597,2013-10-08
222775103,2014-10-22
222775609,2013-10-23
222776621,2013-10-28
222777127,2013-10-10
222777633,2013-10-14
222778139,2013-10-07
222778645,2013-10-09
222779657,2013-10-09
222780669,2013-10-22
222781175,2013-10-03
222781681,2013-10-18
222782187,2013-11-22
222782693,2013-10-14
222783199,2013-10-07
222784211,2013-10-10
222784717,2013-10-10
222785223,2013-10-03
222787247,2013-10-11
222787753,2013-10-08
222788259,2013-10-18
222788765,2013-10-24
222790283,2013-10-09
222790789,2013-10-23
222791801,2013-12-03
222792813,2013-10-11
222793319,2013-10-25
222798379,2013-10-22
222800403,2013-10-21
222800909,2014-11-04
222801415,2013-10-30
222801921,2013-10-17
222802933,2013-10-04
222804957,2013-10-28
222805463,2013-10-29
222805969,2013-10-09
222806475,2013-12-13
222806981,2013-10-09
222807487,2013-10-28
222809511,2013-10-11
222810017,2013-10-18
222811029,2013-10-18
222812041,2013-10-21
222812547,2013-10-16
222815077,2013-11-01
222816089,2013-11-04
222819125,2013-10-09
222819631,2013-11-26
222821149,2013-10-03
222821655,2013-10-11
222822667,2013-10-11
222823173,2013-10-23
222824185,2013-10-18
222824691,2013-10-11
222825703,2013-10-22
222826209,2013-11-01
222826715,2013-10-07
222827221,2013-11-07
222827727,2013-10-21
222828233,2014-10-14
222828739,2013-10-24
222829245,2014-10-22
222830257,2013-11-07
222830763,2013-11-05
222831775,2013-10-21
222832787,2013-10-11
222833293,2013-10-09
222834305,2013-10-31
222834811,2013-10-11
222836329,2013-10-17
222839365,2013-11-01
222839871,2013-10-31
222840377,2013-10-04
222841895,2013-10-28
222842907,2013-10-30
222844931,2013-12-06
222845437,2013-10-02
222845943,2013-10-22
222846449,2013-11-12
222847461,2013-10-10
222848473,2013-10-02
222848979,2013-10-15
222849485,2013-11-01
222849991,2014-10-19
222851003,2013-10-18
222851509,2013-10-11
222853027,2013-10-04
222853533,2013-10-17
222855051,2013-10-04
222856063,2013-11-12
222856569,2013-10-29
222857581,2013-10-11
222858593,2013-10-04
222859099,2013-10-11
222859605,2013-10-10
222860617,2013-10-04
222861123,2013-10-10
222861629,2013-10-24
222862135,2013-12-06
222863147,2013-10-31
222864159,2013-10-04
222865677,2013-10-17
222866183,2013-10-15
222866689,2013-11-04
222867195,2013-12-04
222868207,2013-10-25
222868713,2013-11-01
222869725,2013-10-24
222872255,2013-10-17
222872761,2013-10-31
222873267,2013-10-22
222873773,2013-10-03
222874279,2013-10-18
222874785,2013-11-01
222875291,2013-10-25
222875797,2013-10-16
222876303,2013-10-18
222876809,2013-10-17
222877821,2013-10-28
222878833,2013-10-18
222879339,2013-12-06
222879845,2013-10-04
222880351,2013-10-23
222880857,2013-10-11
222881869,2013-10-14
222882375,2013-10-14
222883893,2013-10-11
222884905,2013-10-24
222885411,2013-11-01
222886423,2013-11-07
222886929,2013-10-10
222887435,2013-10-28
222888447,2013-11-06
222888953,2013-10-09
222889965,2013-10-01
222890471,2013-10-08
222890977,2013-11-07
222891989,2013-10-24
222892495,2013-11-19
222893001,2013-11-13
222893507,2013-11-04
222894013,2013-11-14
222894519,2013-10-15
222895025,2013-10-22
222896037,2013-11-04
222897049,2013-10-18
222897555,2013-11-12
222899073,2013-10-03
222899579,2013-11-19
222901603,2013-11-25
222902109,2013-11-18
222904133,2013-10-24
222904639,2013-10-14
222905145,2013-10-02
222905651,2013-11-04
222906157,2013-11-04
222907169,2013-10-24
222907675,2013-10-15
222908181,2013-10-11
222908687,2013-10-22
222910205,2013-10-15
222910711,2013-11-14
222911217,2013-10-14
222911723,2013-11-19
222912229,2013-10-21
222912735,2013-10-09
222913241,2013-10-18
222914253,2013-10-24
222914759,2013-10-01
222915265,2013-10-23
222915771,2013-11-06
222916277,2013-10-22
222917289,2013-10-08
222917795,2013-10-30
222918301,2013-11-01
222918807,2013-10-11
222919313,2013-11-04
222919819,2013-10-09
222920325,2013-10-30
222920831,2013-10-18
222921337,2013-10-24
222921843,2013-10-02
222922349,2013-10-22
222923361,2013-10-31
222924373,2013-11-08
222925891,2013-10-03
222926903,2013-10-04
222927409,2013-10-09
222927915,2013-10-10
222928421,2013-11-01
222928927,2013-10-07
222929433,2013-11-13
222929939,2013-10-31
222930445,2013-10-23
222932469,2013-10-23
222933481,2013-10-31
222934493,2013-11-08
222935505,2013-10-08
222936011,2013-11-14
222936517,2013-10-25
222937023,2013-10-22
222937529,2013-10-15
222938541,2013-11-15
222939553,2013-11-12
222940059,2013-11-19
222940565,2013-11-19
222941577,2013-10-30
222942589,2013-10-22
222943095,2013-10-29
222944107,2013-10-31
222944613,2013-10-04
222945119,2013-10-24
222945625,2013-10-11
222946637,2013-12-06
222947143,2013-10-02
222947649,2013-11-11
222948661,2013-10-21
222949673,2014-10-06
222950179,2013-11-04
222950685,2013-11-20
222951191,2013-10-11
222952203,2013-12-03
222952709,2013-11-14
222953721,2013-11-08
222954733,2013-11-08
222955239,2013-12-12
222955745,2013-11-27
222956251,2013-10-25
222956757,2014-10-28
222957769,2013-10-31
222958781,2013-11-27
222959287,2013-10-18
222960299,2013-10-24
222960805,2013-10-29
222961817,2013-11-08
222962323,2013-10-28
222963335,2013-11-19
222963841,2013-11-25
222964853,2013-10-21
222965865,2013-12-04
222966877,2013-11-01
222967383,2013-11-08
222968395,2013-10-16
222968901,2013-10-21
222969407,2013-11-14
222970419,2013-10-29
222970925,2013-11-25
222971431,2013-10-18
222972443,2013-10-15
222972949,2013-12-19
222973455,2013-10-14
222973961,2013-11-04
222974467,2013-11-04
222974973,2013-11-08
222975479,2013-11-12
222975985,2013-11-18
222976491,2013-10-02
222976997,2013-11-01
222978009,2013-10-15
222978515,2013-11-07
222979021,2013-10-14
222980539,2013-11-11
222981551,2013-11-15
222983069,2013-11-18
222983575,2013-10-21
222984081,2013-12-02
222984587,2013-10-11
222985093,2013-10-31
222985599,2013-10-22
222986611,2013-10-04
222987623,2013-11-29
222988129,2013-10-17
222988635,2013-12-03
222989141,2013-10-07
222989647,2013-11-11
222990153,2014-10-14
222991165,2013-10-23
222991671,2013-10-31
222992177,2013-11-11
222992683,2013-11-11
222993695,2013-10-15
222994201,2013-10-21
222994707,2013-10-29
222995213,2013-11-19
222995719,2013-10-01
222996225,2013-11-04
222996731,2013-10-14
222997237,2013-11-14
222997743,2013-11-15
222998249,2013-10-30
222998755,2013-12-03
222999261,2013-11-26
222999767,2013-12-02
223000273,2013-11-20
223000779,2013-11-22
223001285,2013-10-21
223001791,2013-11-15
223002297,2013-10-11
223004321,2013-10-14
223005333,2013-12-02
223006345,2013-12-03
223007357,2013-10-30
223007863,2013-10-21
223008369,2013-11-06
223008875,2013-10-18
223009381,2013-11-12
223010393,2013-10-22
223011405,2013-11-18
223011911,2013-10-03
223012417,2013-10-07
223012923,2013-11-14
223013429,2013-10-07
223014441,2013-10-30
223015453,2013-11-25
223016465,2013-11-13
223016971,2013-11-08
223017477,2013-10-22
223017983,2013-12-03
223018489,2013-12-02
223019501,2013-11-26
223020007,2013-11-01
223020513,2013-11-06
223022031,2013-11-14
223022537,2014-10-14
223023043,2013-10-07
223023549,2013-11-18
223024055,2013-11-14
223024561,2013-10-04
223025067,2013-11-01
223025573,2013-10-16
223026585,2013-11-20
223027091,2013-11-19
223027597,2013-11-19
223028103,2013-11-06
223028609,2013-11-18
223029115,2013-10-22
223029621,2013-10-07
223030127,2013-12-02
223031139,2013-11-19
223032151,2013-11-15
223032657,2013-12-04
223033163,2013-11-15
223034175,2013-11-14
223035693,2013-11-06
223036705,2013-10-30
223037717,2013-11-08
223038223,2013-10-04
223039235,2013-11-19
223039741,2013-11-08
